City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,urucara,-2.5364,-57.76,296.49,96,85,1.21,BR,1727232275
287,cukurca,37.2481,43.6136,288.0,47,0,2.1,TR,1727232275
288,remire-montjoly,4.9167,-52.2667,300.17,89,100,0.51,GF,1727232275
289,curaca,-8.9903,-39.9094,298.16,56,100,8.15,BR,1727232275
290,north bend,43.4065,-124.2243,288.85,100,100,3.09,US,1727232276
291,afif,23.9065,42.9172,297.5,19,0,3.87,SA,1727232276
292,malibu,34.005,-118.8101,294.11,93,0,4.02,US,1727232276
293,kendari,-3.945,122.4989,305.75,52,27,2.84,ID,1727232276
294,talnakh,69.4865,88.3972,277.2,79,95,2.26,RU,1727232276
295,bayanhongor,46.7167,100.1167,280.46,51,42,0.9,MN,1727232276
296,rawson,-43.3002,-65.1023,282.31,27,0,4.63,AR,1727232034
297,valparaiso,-33.0393,-71.6273,285.95,66,0,1.54,CL,1727231716
298,chapeco,-27.0964,-52.6183,301.01,57,6,5.14,BR,1727232006
299,loch garman,52.3342,-6.4575,283.65,99,100,2.24,IE,1727232276
300,holualoa,19.6228,-155.9522,300.28,77,100,2.57,US,1727232277
301,adiake,5.2863,-3.304,296.6,94,41,2.41,CI,1727232277
302,mpulungu,-8.7623,31.1141,294.96,64,100,2.62,ZM,1727232277
303,island harbour,50.724,-1.2758,286.44,70,100,2.33,GB,1727232277
304,khuzdar,27.7384,66.6434,299.59,52,100,1.06,PK,1727232277
305,brisas de zicatela,15.8369,-97.0419,296.53,95,100,3.89,MX,1727232277
306,beledweyne,4.7358,45.2036,296.5,74,77,7.11,SO,1727232277
307,lerwick,60.1545,-1.1494,281.57,68,86,7.32,GB,1727232277
308,dolinsk,47.35,142.8,291.72,66,100,4.66,RU,1727232278
309,bonadelle ranchos-madera ranchos,36.9847,-119.8746,305.91,35,0,2.34,US,1727232278
310,mollendo,-17.0231,-72.0147,288.5,83,89,2.17,PE,1727232278
311,manda,-10.4667,34.5833,294.43,69,8,2.8,TZ,1727232278
312,change,47.985,0.2833,285.13,94,0,1.03,FR,1727232278
313,dongcun,36.7767,121.1597,298.43,53,0,2.41,CN,1727232278
314,acarau,-2.8856,-40.12,298.3,80,15,7.12,BR,1727232278
315,itapuranga,-15.5622,-49.9486,302.66,26,79,1.82,BR,1727232278
316,la'ie,21.6477,-157.9253,303.13,72,92,5.88,US,1727232279
317,happy valley-goose bay,53.3168,-60.3315,278.32,93,0,1.03,CA,1727232279
318,burang,30.25,81.1667,284.27,64,16,0.39,CN,1727232279
319,riobamba,-1.6667,-78.6333,284.46,91,76,1.84,EC,1727232279
320,murzuq,25.9155,13.9184,302.66,32,2,4.62,LY,1727232279
